zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,c_lng
601,18.18004,-66.75218,Adjunta28s,PR,Puerto 345Rico,TRUE,,17242,111.4,72001,Adjuntas,"{'72001':99.43,'72141':0.57}",Adjuntas|Utuado,72001|72141,FALSE,FALSE,America/Puerto_Rico,
602,18.36073,-67.17517,A543guada,PR,P733uerto Rico,TRUE,,38442,523.5,72003,Aguada,{'72003':100},Aguada,72003,FALSE,FALSE,America/Puerto_Rico,
603,18.45439,-67.12202,Ag188uadilla,PR,Pue888rto Rico,TRUE,,48814,667.9,72005,Aguadilla,{'72005':100},Aguadilla,72005,FALSE,FALSE,America/Puerto_Rico,
606,18.16724,-66.93828,Ma297ricao,PR,Puerto Ric683o,TRUE,,6437,60.4,72093,Maricao,"{'72093':94.88,'72121':1.35,'72153':3.78}",Maricao|Yauco|Sabana Grande,72093|72153|72121,FALSE,FALSE,America/Puerto_Rico,
610,18.29032,-67.12243,Anasc449o,PR,P753uerto Rico,TRUE,,27073,312,72011,AÃ±asco,"{'72003':0.55,'72011':99.45}",AÃ±asco|Aguada,72011|72003,FALSE,FALSE,America/Puerto_Rico,
612,18.40699,-66.70803,Areci996bo,PR,Puerto63 Rico,TRUE,,60303,382.8,72013,Arecibo,"{'72013':99.89,'72017':0.11}",Arecibo|Barceloneta,72013|72017,FALSE,FALSE,America/Puerto_Rico,
616,18.41753,-66.66814,Baj192adero,PR,Puerto 665Rico,TRUE,,10765,368.9,72013,Arecibo,{'72013':100},Arecibo,72013,FALSE,FALSE,America/Puerto_Rico,
617,18.44124,-66.55917,Barcel565oneta,PR,Puerto Ri722co,TRUE,,23974,625,72017,Barceloneta,"{'72017':99.43,'72054':0.57}",Barceloneta|Florida,72017|72054,FALSE,FALSE,America/Puerto_Rico,
622,17.99174,-67.15248,Boqu273eron,PR,Puert606o Rico,TRUE,,6578,104.6,72023,Cabo Rojo,{'72023':100},Cabo Rojo,72023,FALSE,FALSE,America/Puerto_Rico,
623,18.08355,-67.15417,503Cabo Rojo,PR,852Puerto Rico,TRUE,,42427,437.8,72023,Cabo Rojo,{'72023':100},Cabo Rojo,72023,FALSE,FALSE,America/Puerto_Rico,
624,18.06465,-66.71823,Penuela694s,PR,Puert544o Rico,TRUE,,22707,234.7,72111,PeÃ±uelas,"{'72111':92.53,'72113':7.47}",PeÃ±uelas|Ponce,72111|72113,FALSE,FALSE,America/Puerto_Rico,
627,18.419,-66.86033,408Camuy,PR,Pue523rto Rico,TRUE,,32222,292.8,72027,Camuy,{'72027':100},Camuy,72027,FALSE,FALSE,America/Puerto_Rico,
631,18.18555,-66.83327,Cas36taner,PR,Puerto Ric784o,TRUE,,1568,177.8,72081,Lares,"{'72001':32.99,'72081':67.01}",Lares|Adjuntas,72081|72001,FALSE,FALSE,America/Puerto_Rico,
637,18.07982,-66.94274,Sabana G547rande,PR,P626uerto Rico,TRUE,,22975,283.4,72121,Sabana Grande,"{'72121':99.56,'72153':0.44}",Sabana Grande|Yauco,72121|72153,FALSE,FALSE,America/Puerto_Rico,
638,18.28904,-66.5151,Ciale884s,PR,Pue719rto Rico,TRUE,,16701,110.7,72039,Ciales,"{'72039':98.27,'72091':1.73}",Ciales|ManatÃ­,72039|72091,FALSE,FALSE,America/Puerto_Rico,
641,18.26408,-66.71376,Utuad713o,PR,Puerto 73Rico,TRUE,,27571,128.8,72141,Utuado,"{'72001':0.21,'72141':99.79}",Utuado|Adjuntas,72141|72001,FALSE,FALSE,America/Puerto_Rico,
646,18.43401,-66.2833,Dora937do,PR,Puerto Ri461co,TRUE,,37494,711.6,72051,Dorado,"{'72051':99.89,'72143':0.11}",Dorado|Vega Alta,72051|72143,FALSE,FALSE,America/Puerto_Rico,
647,17.96612,-66.94383,748Ensenada,PR,Puer954to Rico,TRUE,,5643,156.7,72055,GuÃ¡nica,"{'72055':98.88,'72079':1.12}",GuÃ¡nica|Lajas,72055|72079,FALSE,FALSE,America/Puerto_Rico,
650,18.34321,-66.58601,F242lorida,PR,Puerto 941Rico,TRUE,,14760,189.7,72054,Florida,"{'72013':1.51,'72017':1.91,'72039':1.13,'72054':83.61,'72141':11.84}",Florida|Utuado|Barceloneta|Arecibo|Ciales,72054|72141|72017|72013|72039,FALSE,FALSE,America/Puerto_Rico,
652,18.45542,-66.60635,Garroch719ales,PR,Pue593rto Rico,TRUE,,3697,263.2,72013,Arecibo,{'72013':100},Arecibo,72013,FALSE,FALSE,America/Puerto_Rico,
653,17.98574,-66.89033,Guani915ca,PR,Puerto R676ico,TRUE,,11140,337.1,72055,GuÃ¡nica,{'72055':100},GuÃ¡nica,72055,FALSE,FALSE,America/Puerto_Rico,
656,18.0528,-66.79182,Guayanill634a,PR,Puerto R694ico,TRUE,,18979,255.9,72059,Guayanilla,{'72059':100},Guayanilla,72059,FALSE,FALSE,America/Puerto_Rico,
659,18.41069,-66.79648,Hatill341o,PR,Puer76to Rico,TRUE,,40390,387.7,72065,Hatillo,{'72065':100},Hatillo,72065,FALSE,FALSE,America/Puerto_Rico,
660,18.13418,-67.11402,753Hormigueros,PR,104Puerto Rico,TRUE,,16180,587,72067,Hormigueros,{'72067':100},Hormigueros,72067,FALSE,FALSE,America/Puerto_Rico,
662,18.46208,-67.01445,I31sabela,PR,Puerto 111Rico,TRUE,,40290,376.6,72071,Isabela,{'72071':100},Isabela,72071,FALSE,FALSE,America/Puerto_Rico,
664,18.21152,-66.5889,J808ayuya,PR,357Puerto Rico,TRUE,,14991,142.4,72073,Jayuya,"{'72073':99.15,'72141':0.85}",Jayuya|Utuado,72073|72141,FALSE,FALSE,America/Puerto_Rico,
667,18.01227,-67.04089,201Lajas,PR,Puerto R965ico,TRUE,,23590,166.2,72079,Lajas,"{'72079':98.91,'72125':1.09}",Lajas|San GermÃ¡n,72079|72125,FALSE,FALSE,America/Puerto_Rico,
669,18.27102,-66.86982,L473ares,PR,Puerto 104Rico,TRUE,,25653,186.6,72081,Lares,"{'72081':99.22,'72083':0.62,'72131':0.16}",Lares|Las MarÃ­as|San SebastiÃ¡n,72081|72083|72131,FALSE,FALSE,America/Puerto_Rico,
670,18.23777,-66.98877,Las 854Marias,PR,Puer555to Rico,TRUE,,8498,83.1,72083,Las MarÃ­as,"{'72011':1.12,'72083':98.88}",Las MarÃ­as|AÃ±asco,72083|72011,FALSE,FALSE,America/Puerto_Rico,
674,18.42123,-66.49004,M540anati,PR,Pue102rto Rico,TRUE,,39859,381.8,72091,ManatÃ­,"{'72091':98.49,'72145':1.51}",ManatÃ­|Vega Baja,72091|72145,FALSE,FALSE,America/Puerto_Rico,
676,18.3779,-67.08083,Mo421ca,PR,Puerto Ric100o,TRUE,,36995,308.6,72099,Moca,"{'72003':0.51,'72099':99.49}",Moca|Aguada,72099|72003,FALSE,FALSE,America/Puerto_Rico,
677,18.3357,-67.23168,R795incon,PR,Puerto Ric693o,TRUE,,14311,411.2,72117,RincÃ³n,"{'72003':0.47,'72117':99.53}",RincÃ³n|Aguada,72117|72003,FALSE,FALSE,America/Puerto_Rico,
678,18.43269,-66.92812,Quebradill475as,PR,P737uerto Rico,TRUE,,26091,407.5,72115,Quebradillas,"{'72071':5.36,'72115':93.17,'72131':1.47}",Quebradillas|Isabela|San SebastiÃ¡n,72115|72071|72131,FALSE,FALSE,America/Puerto_Rico,
680,18.16327,-67.36195,720Mayaguez,PR,Puerto Ri666co,TRUE,,46395,349.6,72097,MayagÃ¼ez,"{'72011':0.46,'72097':97.01,'72125':2.53}",MayagÃ¼ez|San GermÃ¡n|AÃ±asco,72097|72125|72011,FALSE,FALSE,America/Puerto_Rico,
